name,slug,type,state,city,seats,annual_fees,closing_rank_open,nirf_rank,asmi_recommended,course,established_year,hospital_beds,photo,photo_placeholder_color,contact_phone,contact_email,website,address,affiliated_university,opd_daily,bond_years,bond_penalty,hostel_available,asmi_pulse_score,asmi_verdict,description,attached_hospital,nearby_airport,nearby_railway_station,google_location,pg_courses_availability
"Jawaharlal Institute of Postgraduate Medical Education & Research, Karaikal",jawaharlal-institute-of-postgraduate-medical-education-research-karaikal,JIPMER,Pondicherry,Karaikal,61,,,,TRUE,MBBS,,,,#0e7490,,,,,,,,,,,,,,,,,
"Jawaharlal Institute of Postgraduate Medical Education & Research, Puducherry",jawaharlal-institute-of-postgraduate-medical-education-research-puducherry,JIPMER,Pondicherry,Puducherry,182,,,,TRUE,MBBS,,,,#0e7490,,,,,,,,,,,,,,,,,
"Grant Medical College, Mumbai",grant-medical-college-mumbai,Government,Maharashtra,Mumbai,250,,,,TRUE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Maulana Azad Medical College, New Delhi",maulana-azad-medical-college-new-delhi,Government,Delhi,New Delhi,250,,,,TRUE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Seth GS Medical College and KEM Hospital, Mumbai",seth-gs-medical-college-and-kem-hospital-mumbai,Government,Maharashtra,Mumbai,250,,,,TRUE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Kasturba Medical College, Manipal",kasturba-medical-college-manipal,Deemed,Karnataka,Manipal,250,,,,TRUE,MBBS,,,,#c2410c,,,,,,,,,,,,,,,,,
"Manipal Tata Medical College,Baridih Jameshedpur",manipal-tata-medical-college-baridih-jameshedpur,Deemed,Jharkhand,Baridih Jameshedpur,200,,,,TRUE,MBBS,,,,#c2410c,,,,,,,,,,,,,,,,,
M S RAMAIAH MEDICAL COLLEGE,m-s-ramaiah-medical-college,Private,Karnataka,,150,,,,TRUE,MBBS,,,,#6a0dad,,,,,,,,,,,,,,,,,
"Sikkim Manipal Institute of Medical Sciences, Gangtok",sikkim-manipal-institute-of-medical-sciences-gangtok,Private,Sikkim,Gangtok,150,,,,TRUE,MBBS,,,,#6a0dad,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Bhatinda",all-india-institute-of-medical-sciences-bhatinda,AIIMS,Punjab,Bhatinda,100,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Bhopal",all-india-institute-of-medical-sciences-bhopal,AIIMS,Madhya Pradesh,Bhopal,125,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Bhubaneswar",all-india-institute-of-medical-sciences-bhubaneswar,AIIMS,Odisha,Bhubaneswar,125,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Bibinagar",all-india-institute-of-medical-sciences-bibinagar,AIIMS,Telangana,Bibinagar,100,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Bilaspur",all-india-institute-of-medical-sciences-bilaspur,AIIMS,Himachal Pradesh,Bilaspur,100,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Deoghar",all-india-institute-of-medical-sciences-deoghar,AIIMS,Jharkhand,Deoghar,125,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Gorakhpur",all-india-institute-of-medical-sciences-gorakhpur,AIIMS,Uttar Pradesh,Gorakhpur,125,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Guwahati",all-india-institute-of-medical-sciences-guwahati,AIIMS,Assam,Guwahati,100,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Jodhpur",all-india-institute-of-medical-sciences-jodhpur,AIIMS,Rajasthan,Jodhpur,150,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Kalyani, Nadia",all-india-institute-of-medical-sciences-kalyani-nadia,AIIMS,West Bengal,Nadia,125,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Madurai",all-india-institute-of-medical-sciences-madurai,AIIMS,Tamil Nadu,Madurai,50,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Mangalagiri, Vijayawada",all-india-institute-of-medical-sciences-mangalagiri-vijayawada,AIIMS,Andhra Pradesh,Vijayawada,125,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Nagpur",all-india-institute-of-medical-sciences-nagpur,AIIMS,Maharashtra,Nagpur,125,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, New Delhi",all-india-institute-of-medical-sciences-new-delhi,AIIMS,Delhi,New Delhi,132,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Patna",all-india-institute-of-medical-sciences-patna,AIIMS,Bihar,Patna,125,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Rae Bareli",all-india-institute-of-medical-sciences-rae-bareli,AIIMS,Uttar Pradesh,Rae Bareli,100,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Raipur",all-india-institute-of-medical-sciences-raipur,AIIMS,Chattisgarh,Raipur,125,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Rajkot",all-india-institute-of-medical-sciences-rajkot,AIIMS,Gujarat,Rajkot,75,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Rishikesh",all-india-institute-of-medical-sciences-rishikesh,AIIMS,Uttarakhand,Rishikesh,125,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Vijaypur",all-india-institute-of-medical-sciences-vijaypur,AIIMS,Jammu & Kashmir,Vijaypur,100,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"Institute of Medical Sciences, BHU, Varansi",institute-of-medical-sciences-bhu-varansi,Central,Uttar Pradesh,Varansi,100,,,,FALSE,MBBS,,,,#0369a1,,,,,,,,,,,,,,,,,
"Jawaharlal Nehru Medical College, Aligarh",jawaharlal-nehru-medical-college-aligarh,Central,Uttar Pradesh,Aligarh,150,,,,FALSE,MBBS,,,,#0369a1,,,,,,,,,,,,,,,,,
"Armed Forces Medical College, Pune",armed-forces-medical-college-pune,AFMC,Maharashtra,Pune,150,,,,FALSE,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
ACSR Govt Medical COllege Nellore,acsr-govt-medical-college-nellore,Government,Andhra Pradesh,,175,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
ASMC Sonebhadra,asmc-sonebhadra,Government,Uttar Pradesh,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
ASSAM MEDICAL COLLEGE,assam-medical-college,Government,Assam,,250,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
AUTONOMOUS STATE MEDICAL COLLEGE AURAIYA,autonomous-state-medical-college-auraiya,Government,Uttar Pradesh,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
AUTONOMOUS STATE MEDICAL COLLEGE Amethi,autonomous-state-medical-college-amethi,Government,Uttar Pradesh,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
AUTONOMOUS STATE MEDICAL COLLEGE KUSHINAGAR UTTAR PRADESH,autonomous-state-medical-college-kushinagar-uttar-pradesh,Government,Uttar Pradesh,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"AUTONOMOUS STATE MEDICAL COLLEGE, KANPUR DEHAT",autonomous-state-medical-college-kanpur-dehat,Government,Uttar Pradesh,KANPUR DEHAT,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Agartala Government Medical College & GBP Hospital,agartala-government-medical-college-gbp-hospital,Government,Tripura,,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",andaman-nicobar-islands-institute-of-medical-sciences-port-blair,Government,Andaman & Nicobar,Port Blair,114,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Andhra Medical College, Visakhapatnam",andhra-medical-college-visakhapatnam,Government,Andhra Pradesh,Visakhapatnam,250,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Anugrah Narayan Magadh Medical College, Gaya",anugrah-narayan-magadh-medical-college-gaya,Government,Bihar,Gaya,120,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Atal Bihari Vajpayee Institute of Medical Sciences & Dr. Ram Manohar Lohia Hospi,atal-bihari-vajpayee-institute-of-medical-sciences-dr-ram-manohar-lohia-hospi,Government,Delhi,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Autonomous State Medical College Pratapgarh,autonomous-state-medical-college-pratapgarh,Government,Uttar Pradesh,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Autonomous State Medical College Society Ghazipur,autonomous-state-medical-college-society-ghazipur,Government,Uttar Pradesh,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous State Medical College Society, Etah, Uttar Pradesh",autonomous-state-medical-college-society-etah-uttar-pradesh,Government,Uttar Pradesh,Uttar Pradesh,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous State Medical College Society, Fatehpur",autonomous-state-medical-college-society-fatehpur,Government,Uttar Pradesh,Fatehpur,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous State Medical College Society, Hardoi",autonomous-state-medical-college-society-hardoi,Government,Uttar Pradesh,Hardoi,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Autonomous State Medical College kheri UP,autonomous-state-medical-college-kheri-up,Government,Uttar Pradesh,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous State Medical College, Gonda",autonomous-state-medical-college-gonda,Government,Uttar Pradesh,Gonda,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous State Medical College, Kaushambi",autonomous-state-medical-college-kaushambi,Government,Uttar Pradesh,Kaushambi,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous State Medical College, Siddharthnagar",autonomous-state-medical-college-siddharthnagar,Government,Uttar Pradesh,Siddharthnagar,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous State Medical College, Sultanpur, UP",autonomous-state-medical-college-sultanpur-up,Government,Uttar Pradesh,UP,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Autonomous State Society Medical College Mirzapur,autonomous-state-society-medical-college-mirzapur,Government,Uttar Pradesh,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Autonomous state Medical College Lalitpur,autonomous-state-medical-college-lalitpur,Government,Uttar Pradesh,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous state medical College, pilibhit, u.p.",autonomous-state-medical-college-pilibhit-u-p,Government,Uttar Pradesh,u.p.,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"B. J. Govt. Medical College, Pune",b-j-govt-medical-college-pune,Government,Maharashtra,Pune,250,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"B.J. MEDICAL COLLEGE, AHMEDABAD",b-j-medical-college-ahmedabad,Government,Gujarat,AHMEDABAD,250,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"BPS Government Medical College for Women, Sonepat",bps-government-medical-college-for-women-sonepat,Government,Haryana,Sonepat,120,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"BRD Medical College, Gorakhpur",brd-medical-college-gorakhpur,Government,Uttar Pradesh,Gorakhpur,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Baba Kinaram Autonomous State Medical College,baba-kinaram-autonomous-state-medical-college,Government,Uttar Pradesh,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Bangalore Medical College and Research Institute Bangalore,bangalore-medical-college-and-research-institute-bangalore,Government,Karnataka,,250,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Bankura Sammilani Medical College, Bankura",bankura-sammilani-medical-college-bankura,Government,West Bengal,Bankura,200,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Barasat Government Medical College and Hospital, Banamalipur, West Bengal",barasat-government-medical-college-and-hospital-banamalipur-west-bengal,Government,West Bengal,West Bengal,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Belagavi Institute of Medical Sciences,Belagavi, Karnataka",belagavi-institute-of-medical-sciences-belagavi-karnataka,Government,Karnataka,Karnataka,200,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Bhagwan Mahavir Institute of Medical Sciences, Pawapuri, Nalanda",bhagwan-mahavir-institute-of-medical-sciences-pawapuri-nalanda,Government,Bihar,Nalanda,120,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Bidar Institute of Medical Sciences,Bidar",bidar-institute-of-medical-sciences-bidar,Government,Karnataka,Bidar,200,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Bundelkhand Medical College, Sagar",bundelkhand-medical-college-sagar,Government,Madhya Pradesh,Sagar,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Burdwan Medical College, Burdwan",burdwan-medical-college-burdwan,Government,West Bengal,Burdwan,200,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
CHIKKABALLAPUR INSTITUTE OF MEDICAL SCIENCES,chikkaballapur-institute-of-medical-sciences,Government,Karnataka,,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"CHIKKAMAGALURU INSTITUTE OF MEDICAL SCIENCES, KARNATAKA",chikkamagaluru-institute-of-medical-sciences-karnataka,Government,Karnataka,KARNATAKA,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Calcutta National Medical College, Kolkata",calcutta-national-medical-college-kolkata,Government,West Bengal,Kolkata,250,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Chamarajanagar Institute of Medical sciences, Chamarajanagar",chamarajanagar-institute-of-medical-sciences-chamarajanagar,Government,Karnataka,Chamarajanagar,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Chandulal Chandrakar Memorial Medical College, Durg",chandulal-chandrakar-memorial-medical-college-durg,Government,Chattisgarh,Durg,200,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Chengalpattu Medical College, Chengalpattu",chengalpattu-medical-college-chengalpattu,Government,Tamil Nadu,Chengalpattu,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Chhattisgarh Institute of Medical Sciences, Bilaspur",chhattisgarh-institute-of-medical-sciences-bilaspur,Government,Chattisgarh,Bilaspur,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Chitradurga Medical College and Research Institute, Karnataka",chitradurga-medical-college-and-research-institute-karnataka,Government,Karnataka,Karnataka,149,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Churachandpur Medical College, Manipur",churachandpur-medical-college-manipur,Government,Manipur,Manipur,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Coimbatore Medical College, Coimbatore",coimbatore-medical-college-coimbatore,Government,Tamil Nadu,Coimbatore,200,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"College of Medicine and JNM Hospital,Kalyani,Nadia",college-of-medicine-and-jnm-hospital-kalyani-nadia,Government,West Bengal,Nadia,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"College of Medicine and Sagore Dutta Hospital, Kolkata",college-of-medicine-and-sagore-dutta-hospital-kolkata,Government,West Bengal,Kolkata,125,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Coochbehar Government Medical College & Hospital, Coochbehar, WB",coochbehar-government-medical-college-hospital-coochbehar-wb,Government,West Bengal,WB,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Darbhanga Medical College, Lehriasarai",darbhanga-medical-college-lehriasarai,Government,Bihar,Lehriasarai,120,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dhubri Medical College, Dhubri",dhubri-medical-college-dhubri,Government,Assam,Dhubri,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Diamond Harbour Government Medical College and Hospital, West Bengal",diamond-harbour-government-medical-college-and-hospital-west-bengal,Government,West Bengal,West Bengal,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Diphu Medical College,diphu-medical-college,Government,Assam,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Doon Medical College, Dehradun, Uttarakhand",doon-medical-college-dehradun-uttarakhand,Government,Uttarakhand,Uttarakhand,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Dr B R Ambedkar State Institute of Medical Sciences,dr-b-r-ambedkar-state-institute-of-medical-sciences,Government,Punjab,,99,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dr SN Medical College, Jodhpur",dr-sn-medical-college-jodhpur,Government,Rajasthan,Jodhpur,250,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dr Vaishampayan Memorial Medical College, Solapur",dr-vaishampayan-memorial-medical-college-solapur,Government,Maharashtra,Solapur,200,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dr. Baba Saheb Ambedkar Medical College, Rohini, Delhi",dr-baba-saheb-ambedkar-medical-college-rohini-delhi,Government,Delhi,Delhi,125,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dr. Radhakrishnan Government Medical College, Hamirpur, H.P",dr-radhakrishnan-government-medical-college-hamirpur-h-p,Government,Himachal Pradesh,H.P,120,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",dr-rajendar-prasad-government-medical-college-tanda-h-p,Government,Himachal Pradesh,H.P,120,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dr. Ram Manohar Lohia Institute of Medical Sciences,Lucknow",dr-ram-manohar-lohia-institute-of-medical-sciences-lucknow,Government,Uttar Pradesh,Lucknow,200,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dr. Shankarrao Chavan Govt. Medical College, Nanded",dr-shankarrao-chavan-govt-medical-college-nanded,Government,Maharashtra,Nanded,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dumka Medical College, Dighi Dumka",dumka-medical-college-dighi-dumka,Government,Jharkhand,Dighi Dumka,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC MEDICAL COLLEGE AND HOSPITAL, Andheri",esic-medical-college-and-hospital-andheri,Government,Maharashtra,Andheri,50,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
